symbol,company_name
AFCOM,Afcom Holdings Limited
AFCONS,Afcons Infrastructure Limited
AFFLE,Affle 3i Limited
AFFORDABLE,Affordable Robotic & Automation Limited
AGVENTURES,AG VENTURES LIMITED
AGARWAL,AGARWAL FORTUNE INDIA LIMITED
AGARIND,Agarwal Industrial Corporation Limited
AGI,AGI Greenpac Limited
AGIIL,Agi Infra Limited
AGIOPAPER,Agio Paper & Industries Limited
AGRITECH,Agri-Tech (India) Limited
AGRIBIO,AGRIBIO SPIRITS LIMITED
AGROPHOS,Agro Phos India Limited
AHASOLAR,AHASOLAR TECHNOLOGIES LIMITED
AHLADA,Ahlada Engineers Limited
AHLUCONT,Ahluwalia Contracts (India) Limited
AHMDSTE,Ahmedabad Steelcraft Ltd.
AICHAMP,AI CHAMPDANY INDUSTRIES LIMITED
AIAENG,AIA Engineering Limited
AIKPIPES,AIK Pipes and Polymers Limited
AIMCOPEST,Aimco Pesticides Ltd.
GOLDTECH,AION-TECH SOLUTIONS LIMITED
AIRAN,Airan Limited
AIRFLOA,AIRFLOA RAIL TECHNOLOGY LIMITED
AIROLAM,Airo Lam limited
AJANTPHARM,Ajanta Pharma Limited
AJANTSOY,Ajanta Soya Limited
AJAXENGG,Ajax Engineering Limited
AJCJEWEL,AJC Jewel Manufacturers Limited
AJCON,Ajcon Global Services Ltd.
AJMERA,Ajmera Realty & Infra India Limited
AJOONI,Ajooni Biotech Limited
AJWAFUN,Ajwa Fun World & Resorts Ltd
AKCAPIT,AK Capital Services Limited
AAIL,Akar Auto Industries Limited
AKASH,Akash Infra-Projects Limited
AKG,Akg Exim Limited
AKI,AKI India Limited
AFIL,Akme Fintrade (India) Limited
AKSHOPTFBR,Aksh Optifibre Limited
AKSHAR,Akshar Spintex Limited
AKSHARCHEM,AksharChem India Limited
AKUMS,Akums Drugs and Pharmaceuticals Limited
ALSL,Alacrity Securities Limited
ALANSCOTT,ALAN SCOTT ENTERPRISES LIMITED
ALANKIT,Alankit Limited
ALBERTDAVD,Albert David Limited
ALEMBICLTD,Alembic Limited
APLLTD,Alembic Pharmaceuticals Limited
ALEXANDER,Alexander Stamps And Coin Limited
ALFAICA,Alfa Ica (India) Ltd
ALFATRAN,Alfa Transformers ltd.
ALFAVIO,Alfavision Overseas (India) Ltd.
ALFREDHE,Alfred Herbert (India) Ltd.
ALGOQUANT,Algoquant Fintech Limited
ALICON,Alicon Castalloy Limited
ALIVUS,Alivus Life Sciences Limited
ALKALI,Alkali Metals Limited
ALKEM,Alkem Laboratories Limited
ALKOSIGN,ALKOSIGN LIMITED
ALKYLAMINE,Alkyl Amines Chemicals Limited
ALLTIME,All Time Plastics Limited
ALLCARGO,Allcargo Logistics Limited
ATL,Allcargo Terminals Limited
ATLPP,Allcargo Terminals Limited
ALLDIGI,Alldigi Tech Limited
AIML,Alliance Integrated Metaliks Limited
ABDL,Allied Blenders and Distillers Limited
ADSL,Allied Digital Services Limited
ALMONDZ,Almondz Global Securities Limited
ALNATRD,Alna Trading & Exports Ltd.
ALOKINDS,Alok Industries Limited
ALPA,Alpa Laboratories Limited
ALPHAGEO,Alphageo (India) Limited
ALPHAIND,ALPHALOGIC INDUSTRIES LIMITED
ALPHALOGIC,Alphalogic Techsys Limited
ALPINEHOU,Alpine Housing Development Corporat
ALUFLUOR,Alufluoride  Ltd.
AMAGI,Amagi Media Labs Limited
AMAL,Amal Ltd
AMALGAM,Amalgamated Electricity Co. Ltd.
AMANAYA,AMANAYA VENTURES LIMITED
AMANTA,Amanta Healthcare Limited
ARE&M,Amara Raja Energy & Mobility Limited
AMARJOTHI,Amarjothi Spinning Mills Ltd
AMARSEC,Amarnath Securities Ltd.
AEL,Amba Enterprises Ltd.
AMBALALSA,Ambalal Sarabhai Enterprises Limited
AMBARPIL,Ambar Protein Industries Limited
AIHL,AMBASSADOR INTRA HOLDINGS LIMITED
AMBER,Amber Enterprises India Limited
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited
AMBIKCO,Ambika Cotton Mills Limited
AMBIT,Ambitious Plastomac Ltd.
AMBOAGRI,AMBO AGRITEC LIMITED
AMBUJACEM,Ambuja Cements Limited
AMCOIND,Amco India Ltd.
AMDIND,AMD Industries Limited
AMEENJI,AMEENJI RUBBER LIMITED
AMERISE,AMERISE BIOSCIENCES LIMITED
AMFORG,Amforge Industries Ltd.
AMIC,Amic Forging Limited
AMINTAN,AMIN TANNERY LIMITED
AMNPLST,Amines & Plasticizers Limited
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited
AMITSEC,Amit Securities Ltd.
AMJLAND,Amj Land Holdings Limited
AMKAY,Amkay Products Limited
AMPVOLTS,AMPVOLTS LIMITED
ACFSL,Amrapali Capital and Finance Services Limited
AMRAFIN,Amrapali Fincap Limited
AMRAPLIN,Amrapali Industries Ltd
AMRAAGRI,Amraworld Agrico Ltd.
AMRUTANJAN,Amrutanjan Health Care Limited
AMS,AMS POLYMERS LIMITED
AMWILL,Amwill Health Care Limited
ANANDPROJ,Anand Projects Ltd
ARSSBL,Anand Rathi Share and Stock Brokers Limited
ANANDRATHI,Anand Rathi Wealth Limited
ARL,Anand Rayons Limited
ANANTRAJ,Anant Raj Limited
ACL,Andhra Cements Limited
ANDHRAPAP,ANDHRA PAPER LIMITED
ANDHRAPET,Andhra Petrochemicals Ltd.
ANDREWYU,Andrew Yule & Company Ltd
ANG,ANG Lifesciences India Limited
ANGEL,Angel Fibers Limited
ANGELONE,Angel One Limited
ANIKINDS,Anik Industries Limited
ANIRIT,ANIRIT VENTURES LIMITED
ANIRITPP,ANIRIT VENTURES LIMITED
ANJANIFIN,Anjani Finance Ltd
ANJANIFOODS,Anjani Foods Limited
APCL,Anjani Portland Cement Limited
ANJANI,Anjani Synthetics Limited
ANKIN,Anka India Ltd.
ANKITMETAL,Ankit Metal & Power Limited
AHCL,Anlon Healthcare Limited
ANMOL,Anmol India Limited
ANNAINFRA,Anna Infrastructures Ltd
ANVRDHI,ANNVRRIDHHI VENTURES LIMITED
ANNVRPP,ANNVRRIDHHI VENTURES LIMITED
ANSINDUS,ANS Limited
ANSALBU,Ansal Buildwell Ltd.
ANSALHSG,ANSAL HOUSING LIMITED
ANSALAPI,Ansal Properties & Infrastructure Limited
ANTGRAPHIC,Antarctica Limited
ANTARIKSH,ANTARIKSH INDUSTRIES LIMITED
ANTELOPUS,Antelopus Selan Energy Limited
ANTHEM,Anthem Biosciences Limited
AWHCL,Antony Waste Handling Cell Limited
ANUHPHR,Anuh Pharma Limited
ANUPAM,ANUPAM FINSERV LIMITED
ANURAS,Anupam Rasayan India Limited
ANUROOP,Anuroop Packaging Limited
APARINDS,Apar Industries Limited
APCOTEXIND,Apcotex Industries Limited
PARKHOTELS,Apeejay Surrendra Park Hotels Limited
ACFL,APEX CAPITAL AND FINANCE LIMITED
APEX,Apex Frozen Foods Limited
APIS,Apis India Ltd
APLAPOLLO,APL Apollo Tubes Limited
APLAB,Aplab Ltd.
APLABPP,Aplab Ltd.
APMIN,APM Industries Ltd.
APOLLOFI,Apollo Finvest (India) Ltd.
APOLLOHOSP,Apollo Hospitals Enterprise Limited
APOLLOIN,Apollo Ingredients Limited
APOLLO,Apollo Micro Systems Limited
APOLLOPIPE,Apollo Pipes Limited
APOLSINHOT,Apollo Sindoori Hotels Limited
ATIL,APOLLO TECHNO INDUSTRIES LIMITED
APOLLOTYRE,Apollo Tyres Limited
APOORVA,Apoorva Leasing Finance & Investment Company Limited
APTPACK,Apt Packaging Ltd
APTECHT,Aptech Limited
APPL,Aptus Pharma Limited
APTUS,Aptus Value Housing Finance India Limited
AQYLON,Aqylon Nexus Limited
ARAVALIS,Aravali Securities & Finance Ltd.
ARCFIN,ARC Finance Limited
ARCEEIN,Arcee Indusrtries ltd.
ACI,Archean Chemical Industries Limited
ADL,Archidply Decor Limited
ARCHIDPLY,Archidply Industries Limited
ARCHIES,Archies Limited
ARCHITORG,Archit Organosys Limited
ARCL,ARCL Organics Ltd
ZARCOLEA,Arco Leasing Ltd.
ARDIALL,Ardi Alliances Limited
AREXMIS,Arex Industries Ltd.
ARFIN,Arfin India Limited
ARIES,Aries Agro Limited
ARIGATO,ARIGATO UNIVERSE LIMITED
ARIHANTCAP,Arihant Capital Markets Limited
ARIHANT,Arihant Foundations & Housing Limited
ARIHANTSUP,Arihant Superstructures Limited
ARISE,Arihants Securities ltd.
ARIS,Arisinfra Solutions Limited
ARITAS,Aritas Vinyl Limited
ARKADE,Arkade Developers Limited
ARMANFIN,Arman Financial Services Limited
ARMAN,Arman Holdings Limited
ARNOLD,Arnold Holdings Ltd
AROGRANITE,Aro Granite Industries Limited
ARROWGREEN,Arrow Greentech Limited
ARROWHEAD,Arrowhead Seperation Engineering Limited
ARSHIYA,Arshiya Limited
ARTNIRMAN,Art Nirman Limited
ARTEFACT,Artefact Projects Ltd
AEPL,Artemis Electricals and Projects Limited
ARTEMISMED,Artemis Medicare Services Limited
AEIM,Artificial Electronics Intelligent Material Limited
ARTSON,ARTSON LIMITED
ARUNAHTEL,Aruna Hotels Ltd.
ABVL,Arunjyoti Bio Ventures Limited
ARVEE,Arvee Laboratories (India) Limited
ARVINDFASN,Arvind Fashions Limited
ARVIND,Arvind Limited
ARVSMART,Arvind SmartSpaces Limited
ARYACAPM,Aryaman Capital Markets Limited
ARYAMAN,Aryaman Financial Services Ltd.
ARYAN,Aryan Share & Stock Brokers Ltd.
ARYAVAN,ARYAVAN ENTERPRISE LIMITED
ASAHIINDIA,Asahi India Glass Limited
ASAHISONG,Asahi Songwon Colors Limited
ASARFI,ASARFI HOSPITAL LIMITED
ASCENSIVE,Ascensive Educare Limited
ASGARD,ASGARD ALCOBEV LIMITED
ASHAPURMIN,Ashapura Minechem Limited
AGOL,Ashapuri Gold Ornament Limited
ASHAI,Ashiana Agro Industries Ltd
ASHIANA,Ashiana Housing Limited
ASHIKA,Ashika Credit Capital Limited
ASHIMASYN,Ashima Limited
ASHCAP,Ashirwad Capital Ltd.
ASHSI,Ashirwad Steels & Industries  Ltd.
ASHISHPO,Ashish Polyplast Ltd.
ASHNI,Ashnisha Industries Limited
ASHNOOR,Ashnoor Textiles Mills Ltd.
ASHOKLEY,Ashok Leyland Limited
ASHOKA,Ashoka Buildcon Limited
ASHOKAMET,Ashoka Metcast Limited
ASHRAM,Ashram Online.com Ltd
ASHUTPM,Ashutosh Paper Mills Ltd.
ASIIL,ASI INDUSTRIES LIMITED
ASIACAP,ASIA CAPITAL LIMITED
ASIAPAK,Asia Pack Ltd.
ASIANENE,Asian Energy Services Limited
ASIANTILES,Asian Granito India Limited
AHLEAST,Asian Hotels (East) Limited
ASIANHOTNR,Asian Hotels (North) Limited
AHLWEST,Asian Hotels (West) Limited
ASIANPAINT,Asian Paints Limited
ASINPET,Asian Petroproducts & Exports Ltd.
ASTAR,Asian Star Company Limited
ASIANTNE,Asian Tea & Exports Ltd.
ASIAN,Asian Warehousing Limited
ASITCFIN,Asit C Mehta Financial Services Limited
ASKAUTOLTD,ASK Automotive Limited
ASMTEC,ASM Technologies Ltd.
ASPINWALL,Aspinwall and Company Limited
ASPIRA,Aspira Pathlab & Diagnostics Limited
ASSAMENT,Assam Entrade Limited
ASALCBR,Associated Alcohols & Breweries Ltd.
ASSOCER,Associated Ceramics Ltd.
ASSOCIATED,Associated Coaters Limited
APL,ASSTON PHARMACEUTICALS LIMITED
ASTALLTD,ASTAL LABORATORIES LIMITED
ASTEC,Astec LifeSciences Limited
ASTERDM,Aster DM Healthcare Limited
ASTONEALAB,ASTONEA LABS LIMITED
ASTRAMICRO,Astra Microwave Products Limited
ASTRAL,Astral Limited
ASTRAZEN,AstraZeneca Pharma India Limited
ASTRONMULT,Astron Multigrain Limited
ASTRON,Astron Paper & Board Mill Limited
ASUTENT,Asutosh Enterprise Ltd.
ATALREAL,Atal Realtech Limited
ATAM,Atam Valves Limited
ATENPAPERS,Aten Papers & Foam Limited
ATHARVENT,Atharv Enterprises Limited
ATHCON,Athena Constructions Limited
ATHENAGLO,Athena Global Technologies Limited
ATHERENERG,Ather Energy Limited
ATISHAY,Atishay Limited
ATLANTAELE,Atlanta Electricals Limited
ATLANTAA,ATLANTAA LIMITED
ATLASCYCLE,Atlas Cycles (Haryana) Limited
ATULAUTO,Atul Auto Limited
ATUL,Atul Limited
ATVPR,ATV Projects India Ltd
ATVOENT,Atvo Enterprises Limited
AUBANK,AU Small Finance Bank Limited
AUREATE,AUREATE TRADDE LIMITED
AURIGROW,Auri Grow India Limited
AURIONPRO,Aurionpro Solutions Limited
AUROLAB,Auro Laboratories Ltd.
AUROPHARMA,Aurobindo Pharma Limited
AURUM,Aurum PropTech Limited
AUSOMENT,Ausom Enterprise Limited
AUSTERE,AUSTERE SYSTEMS LIMITED
AUSTENG,Austin Engineering Co. Ltd.
AIIL,Authum Investment & Infrastructure Limited
AFLTD,Autofurnish Limited
AUTOIND,Autoline Industries Limited
ACGL,Automobile Corpn. of Goa Ltd.
AUTOPRD,Automobile Products of India Ltd.
AUTOAXLES,Automotive Axles Limited
ASAL,Automotive Stampings and Assemblies Limited
AUTOINT,Autoriders International Ltd
AVADHSUGAR,Avadh Sugar & Energy Limited
AVAILFC,Available Finance Ltd.
AVALON,Avalon Technologies Limited
AVANCE,Avance Technologies Ltd.
AVANTEL,Avantel Limited
AVANTIFEED,Avanti Feeds Limited
AVAX,Avax Apparels and Ornaments Limited
AVEER,Aveer Foods Limited
DMART,Avenue Supermarts Limited
CCAVENUE,AvenuesAI Limited
AVG,AVG Logistics Limited
ASMS,Avio Smart Market Stack Limited
AVIVA,Aviva Industries Limited
AVONMERC,Avon Mercantile Ltd.
AVONMORE,Avonmore Capital & Management Services Limited
AVROIND,AVRO INDIA LIMITED
AVTNPL,AVT Natural Products Limited
AWFIS,Awfis Space Solutions Limited
AWL,AWL Agri Business Limited
AXELPOLY,Axel Polymers Ltd.
AXISBANK,Axis Bank Limited
AXISTECETF,Axis Mutual Fund
AXISHCETF,Axis Mutual Fund
AXISCETF,Axis Mutual Fund
AXSENSEX,Axis Mutual Fund
AXISVALUE,Axis Mutual Fund
AXISCADES,AXISCADES Technologies Limited
AXITA,Axita Cotton Limited
AXTEL,Axtel Industries Ltd.
AYE,Aye Finance Limited
AYMSYNTEX,AYM Syntex Limited
AZAD,Azad Engineering Limited
AZADIND,AZAD INDIA MOBILITY LIMITED
AZTEC,Aztec Fluids & Machinery Limited
BNALTD,B & A Limited
BAPACK,B&A Packaging India Limited
BBTCL,B&B Triplewall Containers Limited
BRRL,B-RIGHT REALESTATE LIMITED
BDI,B. D. Industries (Pune) Limited
BLKASHYAP,B. L. Kashyap and Sons Limited
BAGFILMS,B.A.G Films and Media Limited
BCP,B.C. Power Controls Limited
BNRSEC,B.N.Rathi Securities Ltd.
BRGIL,B.R.GOYAL INFRASTRUCTURE LIMITED
B2BSOFT,B2B Software Technologies Ltd.
STYLEBAAZA,Baazar Style Retail Limited
BABA,Baba Arts Ltd
BACPHAR,Bacil Pharma Ltd.
BAFNAPH,Bafna Pharmaceuticals Limited
BAIKAKAJI,BAI-KAKAJI POLYMERS LIMITED
BAIDFIN,Baid Finserv Limited
BAJAJ-AUTO,Bajaj Auto Limited
BAJAJCON,Bajaj Consumer Care Limited
BAJAJELEC,Bajaj Electricals Limited
BAJFINANCE,Bajaj Finance Limited
BAJAJFINSV,Bajaj Finserv Limited
NIFTYBETF,Bajaj Finserv Mutual Fund
BANKBETF,Bajaj Finserv Mutual Fund
BAJGLOB,Bajaj Global Ltd
BAJAJHCARE,Bajaj Healthcare Limited
BAJAJHIND,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
BAJAJHFL,Bajaj Housing Finance Limited
BAJAJST,Bajaj Steel Industries Limited
BAJEL,Bajel Projects Limited
BALPHARMA,Bal Pharma Limited
BALAMINES,Balaji Amines Limited
BALAJITELE,Balaji Telefilms Limited
BALAXI,BALAXI PHARMACEUTICALS LIMITED
BALGOPAL,Balgopal Commercial limited
BALKRISIND,Balkrishna Industries Limited
BALKRISHNA,Balkrishna Paper Mills Limited
BALMLAWRIE,Balmer Lawrie & Company Limited
BLIL,Balmer Lawrie Investments Limited
BALRAMCHIN,Balrampur Chini Mills Limited
BALUFORGE,Balu Forge Industries Limited
BALTE,Balurghat Technologies Ltd.
BAMBINO,Bambino Agro Industries Ltd
BAMPSL,Bampsl Securities Ltd.
BANARBEADS,Banaras Beads Limited
BANASFN,Banas Finance Limited
BANCOINDIA,Banco Products (I) Limited
BANDARAM,BANDARAM PHARMA PACKTECH LIMITED
BANDHANBNK,Bandhan Bank Limited
IDFSENSEXE,Bandhan Mutual Fund
ARSIFHRG,Bandhan Mutual Fund
ARSIFHRMD,Bandhan Mutual Fund
ARSIFHDG,Bandhan Mutual Fund
ARSIFHRHD,Bandhan Mutual Fund
ARSIFHDAD,Bandhan Mutual Fund
BANG,Bang Overseas Limited
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
MAHABANK,Bank of Maharashtra
BANKA,Banka BioLoo Limited
BASML,Bannari Amman Spinning Mills Limited
BANARISUG,Bannari Amman Sugars Limited
BRPL,Bansal Roofing Products Limited
BANSALWIRE,Bansal Wire Industries Limited
BANSTEA,Bansisons Tea Industries Ltd.
BANSWRAS,Banswara Syntex Limited
BVCL,Barak Valley Cements Limited
BBNPNBETF,BARODA BNP PARIBAS MUTUAL FUND
BAROEXT,Baroda Extrusion Ltd.
BARODARY,Baroda Rayon Corpn. Ltd.
BASANTGL,Basant Agro-Tech (India) Ltd.
BASF,BASF India Limited
BATAINDIA,Bata India Limited
BATLIBOI,Batliboi Limited
BAYERCROP,Bayer Cropscience Limited
BAZELINTER,Bazel International Limited
BCCFUBA,BCC Fuba India Ltd.
BCLENTERPR,BCL Enterprises Limited
BCLIND,Bcl Industries Limited
BCPL,BCPL Railway Infrastructure Limited
BDH,BDH Industries Ltd.
BEARDSELL,Beardsell Limited
BEDMUTHA,Bedmutha Industries Limited
BEEKAY,Beekay Steel Industries Limited
BEEYU,Beeyu Overseas Ltd.
BEEZAASAN,Beezaasan Explotech Limited
BEFOUNDMOL,BEFOUND MOVEMENT LIMITED
BELDING,BELDING INDIA LIMITED
BELLACASA,Bella Casa Fashion & Retail Limited
BELRISE,Belrise Industries Limited
BEMHY,Bemco Hydraulics Ltd.
BLAL,BEML Land Assets Limited
BEML,BEML Limited
BENARA,Benara Bearings and Pistons Limited
BENARAS,Benares Hotels Ltd
BENCHMARK,Benchmark Computer Solutions Limited
BENGALASM,Bengal & Assam Company Limited
BENGALS,Bengal Steel Industries Ltd.
BENGALT,Bengal Tea & fabrics Ltd.
BENTCOM,Bentley Commercial Enterprises Ltd.
BERGEPAINT,Berger Paints (I) Limited
BERVINL,Bervin Investments And Leasing Ltd.
BERLDRG,Beryl Drugs Ltd.
BERYLSE,Beryl Securities Ltd
BESTAGRO,Best Agrolife Limited
BESTEAST,Best Eastern Hotels Limited
BETA,Beta Drugs Limited
BETXIND,Betex India Ltd.
BFINVEST,BF Investment Limited
BFUTILITIE,BF Utilities Limited
BFLAFL,BFL Asset Finvest Limited
BGIL,BGIL Films & Technologies Ltd
BGRENERGY,BGR Energy Systems Limited
BHAGGAS,Bhagawati Gas Limited
BHAGERIA,Bhageria Industries Limited
BHAGCHEM,Bhagiradha Chemicals & Industries Limited
BGWTATO,Bhagwati Autocast Limited
BHAGWOX,Bhagwati Oxygen Ltd.
BHAGYANGR,Bhagyanagar India Limited
BHANDARI,Bhandari Hosiery Exports Limited
BHANDERI,Bhanderi Infracon Limited
BEPL,Bhansali Engineering Polymers Limited
BHARATAGRI,Bharat Agri Fert and Realty Ltd
BHARAT,BHARAT BHUSHAN FINANCE & COMMODITY BROKERS LIMITED
BBL,Bharat Bijlee Limited
BHARATCOAL,Bharat Coking Coal Limited
BDL,Bharat Dynamics Limited
BEL,Bharat Electronics Limited
BHARATFORG,Bharat Forge Limited
BHARATGEAR,Bharat Gears Limited
BGDL,BHARAT GLOBAL DEVELOPERS LIMITED
BHEL,Bharat Heavy Electricals Limited
BIBCL,Bharat Immunologicals & Biologicals
BPLPHARMA,Bharat Parenterals Limited
BPCL,Bharat Petroleum Corporation Limited
BHARATRAS,Bharat Rasayan Limited
BRNL,Bharat Road Network Limited
BHARATSE,Bharat Seats Limited
BHARATWIRE,Bharat Wire Ropes Limited
BHARATROHAN,BHARATROHAN AIRBORNE INNOVATIONS LIMITED
BHARTIARTL,Bharti Airtel Limited
BHARTIHEXA,Bharti Hexacom Limited
BIL,Bhartiya International Limited
BHASKAGR,Bhaskar Agrochemicals Ltd.
BCCL,Bhatia Colour Chem Limited
BHATIA,Bhatia Communications & Retail (India) Limited
BHAVIK,BHAVIK ENTERPRISES LIMITED
BHILSPIN,Bhilwara Spinners Ltd
BTTL,Bhilwara Technical Textiles Limited
BHUDEVI,BHUDEVI INFRA PROJECTS LIMITED
BIGBLOC,Bigbloc Construction Limited
BIHSPONG,Bihar Sponge Iron Ltd
BIKAJI,Bikaji Foods International Limited
BILVYAPAR,BIL VYAPAR LIMITED
BI,Bilcare Limited
GROWW,Billionbrains Garage Ventures Limited
BILLWIN,Billwin Industries Limited
BIMETAL,Bimetal Bearings Limited
ZBINTXPP,Binayak Tex Processors  Ltd.
BINDALEXPO,Bindal Exports Limited
BIOCON,Biocon Limited
